Company Name,Total Advisers,Website,Enrich Company,Name,Website (2),Employee Count,Size,Industry,Description,Url,Follower Count,Domain,Type,Founded,Revenue,Revenue Data Provider,Site Traffic,Add Lead to Campaign,People Search (Find People from Uk Advisors Csv) - 2025-05-12T22:23:41.167Z,Convert to JSON,Supabase
Towers Watson Limited,7,https://www.wtwco.com,WTW,WTW,https://www.wtwco.com/,53672,"10,001+ employees",Financial Services,"At WTW (NASDAQ: WTW), we provide data-driven, insight-led solutions in the areas of people, risk and capital. Leveraging the global view and local expertise of our colleagues serving 140 countries and markets, we help you sharpen your strategy, enhance organizational resilience, motivate your workforce and maximize performance.",https://www.linkedin.com/company/wtwcorporate,1082570,wtwco.com,Public Company,,,None found,440618,,,"{""Company Name"":""Towers Watson Limited"",""Created At"":""2025-05-06T03:14:48.904Z"",""Employee Count"":53672,""Enrich Company.country"":""GB"",""Enrich Company.description"":""At WTW (NASDAQ: WTW), we provide data-driven, insight-led solutions in the areas of people, risk and capital. Leveraging the global view and local expertise of our colleagues serving 140 countries and markets, we help you sharpen your strategy, enhance organizational resilience, motivate your workforce and maximize performance."",""Enrich Company.domain"":""wtwco.com"",""Enrich Company.employee_count"":53672,""Enrich Company.follower_count"":1082570,""Enrich Company.founded"":null,""Enrich Company.industry"":""Financial Services"",""Enrich Company.last_refresh"":""2025-04-23T04:09:37.688872"",""Enrich Company.locality"":""London, England"",""Enrich Company.logo_url"":""https://s3.amazonaws.com/media.mixrank.com/hero-img/a4d0e172cf00b82b9ae784d3d7e4080e"",""Enrich Company.name"":""WTW"",""Enrich Company.org_id"":3994,""Enrich Company.size"":""10,001+ employees"",""Enrich Company.slug"":""wtwcorporate"",""Enrich Company.type"":""Public Company"",""Enrich Company.url"":""https://www.linkedin.com/company/wtwcorporate"",""Enrich Company.website"":""https://www.wtwco.com/"",""Follower Count"":1082570,""Name"":""WTW"",""Site Traffic"":440618,""Total Advisers"":7,""Website"":""https://www.wtwco.com"",""Website (2)"":""https://www.wtwco.com/""}",
Mercer Limited,29,https://www.mercer.com/en-gb,Mercer,Mercer,http://www.mercer.com,23285,"10,001+ employees",Professional Services,"At Mercer, we believe in building brighter futures. 
 
Together, our 25,000 employees in over 130 counties are helping redefine the future of work, reshape retirement and investment outcomes, and unlock real health and well-being. 
 
For over 75 years, we’ve provided trusted advice and solutions to build healthier and more sustainable futures for our clients, colleagues and communities. 

Balancing economics and empathy in our approach, we work side by side with you to find solutions to benefit your people and your business. By turning ideas into actions that spark positive change, we help you enrich employees’ lives and careers and drive innovation, progress and performance. Mercer is a business of Marsh McLennan.

Get to know us better: Click the “learn more” button at the top of the page to discover everything we do to help you meet the needs of today and tomorrow. Follow us on Twitter at @Mercer.",https://www.linkedin.com/company/mercer,837717,mercer.com,Public Company,,10000000000,People Data Labs,501015,,,"{""Company Name"":""Mercer Limited"",""Created At"":""2025-05-06T03:14:49.494Z"",""Employee Count"":23285,""Enrich Company.country"":""US"",""Enrich Company.description"":""At Mercer, we believe in building brighter futures. \n \nTogether, our 25,000 employees in over 130 counties are helping redefine the future of work, reshape retirement and investment outcomes, and unlock real health and well-being. \n \nFor over 75 years, we’ve provided trusted advice and solutions to build healthier and more sustainable futures for our clients, colleagues and communities. \n\nBalancing economics and empathy in our approach, we work side by side with you to find solutions to benefit your people and your business. By turning ideas into actions that spark positive change, we help you enrich employees’ lives and careers and drive innovation, progress and performance. Mercer is a business of Marsh McLennan.\n\nGet to know us better: Click the “learn more” button at the top of the page to discover everything we do to help you meet the needs of today and tomorrow. Follow us on Twitter at @Mercer."",""Enrich Company.domain"":""mercer.com"",""Enrich Company.employee_count"":23285,""Enrich Company.follower_count"":837717,""Enrich Company.founded"":null,""Enrich Company.industry"":""Professional Services"",""Enrich Company.last_refresh"":""2025-04-22T23:54:33.482022"",""Enrich Company.locality"":""New York, NY"",""Enrich Company.logo_url"":""https://s3.amazonaws.com/media.mixrank.com/hero-img/3cc7622f4ffc7b826408724a1aaad21d"",""Enrich Company.name"":""Mercer"",""Enrich Company.org_id"":2423,""Enrich Company.size"":""10,001+ employees"",""Enrich Company.slug"":""mercer"",""Enrich Company.type"":""Public Company"",""Enrich Company.url"":""https://www.linkedin.com/company/mercer"",""Enrich Company.website"":""http://www.mercer.com"",""Follower Count"":837717,""Name"":""Mercer"",""Site Traffic"":501015,""Total Advisers"":29,""Website"":""https://www.mercer.com/en-gb"",""Website (2)"":""http://www.mercer.com""}",
Crowe Financial Planning UK Limited,11,https://www.crowe.com/uk/crowefinancialplanning,Crowe,Crowe,https://www.crowe.com,9113,"5,001-10,000 employees",Professional Services,"Crowe LLP is a public accounting and consulting firm that uses its deep industry expertise to provide audit, tax, and consulting services to public and private entities. Crowe is recognized by many organizations as one of the best places to work in the U.S. As an independent member of Crowe Global, one of the largest global accounting networks in the world, Crowe serves clients worldwide. The network consists of more than 200 independent accounting and advisory services firms in more than 130 countries around the world.",https://www.linkedin.com/company/crowe,176106,crowe.com,Partnership,,,None found,,,,"{""Company Name"":""Crowe Financial Planning UK Limited"",""Created At"":""2025-05-06T03:14:49.295Z"",""Employee Count"":9113,""Enrich Company.country"":""US"",""Enrich Company.description"":""Crowe LLP is a public accounting and consulting firm that uses its deep industry expertise to provide audit, tax, and consulting services to public and private entities. Crowe is recognized by many organizations as one of the best places to work in the U.S. As an independent member of Crowe Global, one of the largest global accounting networks in the world, Crowe serves clients worldwide. The network consists of more than 200 independent accounting and advisory services firms in more than 130 countries around the world."",""Enrich Company.domain"":""crowe.com"",""Enrich Company.employee_count"":9113,""Enrich Company.follower_count"":176106,""Enrich Company.founded"":null,""Enrich Company.industry"":""Professional Services"",""Enrich Company.last_refresh"":""2025-04-22T02:25:58.530389"",""Enrich Company.locality"":""Chicago, Illinois"",""Enrich Company.logo_url"":""https://s3.amazonaws.com/media.mixrank.com/hero-img/5eb6a7c7156ee397b2480d8f6dd4d3d6"",""Enrich Company.name"":""Crowe"",""Enrich Company.org_id"":5507,""Enrich Company.size"":""5,001-10,000 employees"",""Enrich Company.slug"":""crowe"",""Enrich Company.type"":""Partnership"",""Enrich Company.url"":""https://www.linkedin.com/company/crowe"",""Enrich Company.website"":""https://www.crowe.com"",""Follower Count"":176106,""Name"":""Crowe"",""Total Advisers"":11,""Website"":""https://www.crowe.com/uk/crowefinancialplanning"",""Website (2)"":""https://www.crowe.com""}",
Forvis Mazars Financial Planning Limited,32,https://www.forvismazars.com/uk/en,Forvis Mazars Group,Forvis Mazars Group,https://www.forvismazars.com,8798,201-500 employees,Accounting,"Forvis Mazars Group SC is an independent member of Forvis Mazars Global, a leading global professional services network. 
Operating as an internationally integrated partnership in over 100 countries and territories, we specialise in audit, tax and advisory services.",https://www.linkedin.com/company/forvis-mazars-group,518777,forvismazars.com,Partnership,,5500000000,People Data Labs,334795,,,"{""Company Name"":""Forvis Mazars Financial Planning Limited"",""Created At"":""2025-05-06T03:14:49.494Z"",""Employee Count"":8798,""Enrich Company.country"":""FR"",""Enrich Company.description"":""Forvis Mazars Group SC is an independent member of Forvis Mazars Global, a leading global professional services network. \nOperating as an internationally integrated partnership in over 100 countries and territories, we specialise in audit, tax and advisory services."",""Enrich Company.domain"":""forvismazars.com"",""Enrich Company.employee_count"":8798,""Enrich Company.follower_count"":518777,""Enrich Company.founded"":null,""Enrich Company.industry"":""Accounting"",""Enrich Company.last_refresh"":""2025-04-22T19:14:42.732505"",""Enrich Company.locality"":""Paris La Defense"",""Enrich Company.logo_url"":""https://s3.amazonaws.com/media.mixrank.com/hero-img/3901deafe9c69ede98ff91efed9a4fdc"",""Enrich Company.name"":""Forvis Mazars Group"",""Enrich Company.org_id"":103549020,""Enrich Company.size"":""201-500 employees"",""Enrich Company.slug"":""forvis-mazars-group"",""Enrich Company.type"":""Partnership"",""Enrich Company.url"":""https://www.linkedin.com/company/forvis-mazars-group"",""Enrich Company.website"":""https://www.forvismazars.com"",""Follower Count"":518777,""Name"":""Forvis Mazars Group"",""Site Traffic"":334795,""Total Advisers"":32,""Website"":""https://www.forvismazars.com/uk/en"",""Website (2)"":""https://www.forvismazars.com""}",
abrdn Financial Planning And Advice Limited,67,https://www.abrdn.com/en-gb/individual/financial-a,Aberdeen,Aberdeen,https://www.aberdeenplc.com/,5630,"5,001-10,000 employees",Financial Services,"At Aberdeen, our ambition is to be the UK’s leading Wealth & Investments group.

We are focused on growing our direct and advised wealth platforms and repositioning our specialist asset management business to meet client demand. We are committed to providing excellent client service, supported by leading technology and talent.",https://www.linkedin.com/company/aberdeen-group-plc,184933,aberdeenplc.com,Public Company,,5500000000,People Data Labs,,,,"{""Company Name"":""abrdn Financial Planning And Advice Limited"",""Created At"":""2025-05-06T03:14:49.494Z"",""Employee Count"":5630,""Enrich Company.country"":""GB"",""Enrich Company.description"":""At Aberdeen, our ambition is to be the UK’s leading Wealth & Investments group.\n\nWe are focused on growing our direct and advised wealth platforms and repositioning our specialist asset management business to meet client demand. We are committed to providing excellent client service, supported by leading technology and talent."",""Enrich Company.domain"":""aberdeenplc.com"",""Enrich Company.employee_count"":5630,""Enrich Company.follower_count"":184933,""Enrich Company.founded"":null,""Enrich Company.industry"":""Financial Services"",""Enrich Company.last_refresh"":""2025-04-23T16:21:14.773756"",""Enrich Company.locality"":""Edinburgh, Scotland"",""Enrich Company.logo_url"":""https://s3.amazonaws.com/media.mixrank.com/hero-img/ccc5f914812ebaeaff1b89e920fd8f37"",""Enrich Company.name"":""Aberdeen"",""Enrich Company.org_id"":74514529,""Enrich Company.size"":""5,001-10,000 employees"",""Enrich Company.slug"":""aberdeen-group-plc"",""Enrich Company.type"":""Public Company"",""Enrich Company.url"":""https://www.linkedin.com/company/aberdeen-group-plc"",""Enrich Company.website"":""https://www.aberdeenplc.com/"",""Follower Count"":184933,""Name"":""Aberdeen"",""Total Advisers"":67,""Website"":""https://www.abrdn.com/en-gb/individual/financial-a"",""Website (2)"":""https://www.aberdeenplc.com/""}",
Fisher Investments Europe Limited,77,https://www.fisherinvestments.com/en-gb,Fisher Investments,Fisher Investments,https://www.fisherinvestments.com,4998,"5,001-10,000 employees",Financial Services,"Fisher Investments is an independent, fee-only investment adviser serving clients across three principal business units: US Private Client, Institutional and Private Client International. Together, these groups serve a diverse global client base that includes corporations, public and multi-employer pension funds, foundations and endowments, governments and high net worth families. 
 
Fisher Investments was founded in 1979 by Ken Fisher, who served as CEO for 37 years and now serves as Executive Chairman and Co-Chief Investment Officer. Ken wrote the Forbes “Portfolio Strategy” column from 1984 through 2016, making him the longest continuously running columnist in the magazine’s history. He now writes monthly native language columns in major media organs around the world, spanning more countries and more total volume than any other columnist of any type ever. Ken has written 11 books—including 4 New York Times bestsellers—and has regularly appeared on CNBC, Fox Business, Fox News, CNN International, Yahoo Finance, Bloomberg TV, and numerous other financial news outlets.
 
For more information on Fisher Investments, please visit www.fisherinvestments.com. 

Careers Page: https://www.fisherinvestments.com/en-us/careers 
 
Important Disclosures: https://www.fisherinvestments.com/en-us/disclosures 
 
Privacy Policy: https://www.fisherinvestments.com/en-us/privacy 
 
Community Guidelines: https://www.fisherinvestments.com/en-us/communityguidelines",https://www.linkedin.com/company/fisher-investments,257283,fisherinvestments.com,Privately Held,1979,5500000000,People Data Labs,,,,"{""Company Name"":""Fisher Investments Europe Limited"",""Created At"":""2025-05-06T03:14:49.494Z"",""Employee Count"":4998,""Enrich Company.country"":""US"",""Enrich Company.description"":""Fisher Investments is an independent, fee-only investment adviser serving clients across three principal business units: US Private Client, Institutional and Private Client International. Together, these groups serve a diverse global client base that includes corporations, public and multi-employer pension funds, foundations and endowments, governments and high net worth families. \n \nFisher Investments was founded in 1979 by Ken Fisher, who served as CEO for 37 years and now serves as Executive Chairman and Co-Chief Investment Officer. Ken wrote the Forbes “Portfolio Strategy” column from 1984 through 2016, making him the longest continuously running columnist in the magazine’s history. He now writes monthly native language columns in major media organs around the world, spanning more countries and more total volume than any other columnist of any type ever. Ken has written 11 books—including 4 New York Times bestsellers—and has regularly appeared on CNBC, Fox Business, Fox News, CNN International, Yahoo Finance, Bloomberg TV, and numerous other financial news outlets.\n \nFor more information on Fisher Investments, please visit www.fisherinvestments.com. \n\nCareers Page: https://www.fisherinvestments.com/en-us/careers \n \nImportant Disclosures: https://www.fisherinvestments.com/en-us/disclosures \n \nPrivacy Policy: https://www.fisherinvestments.com/en-us/privacy \n \nCommunity Guidelines: https://www.fisherinvestments.com/en-us/communityguidelines"",""Enrich Company.domain"":""fisherinvestments.com"",""Enrich Company.employee_count"":4998,""Enrich Company.follower_count"":257283,""Enrich Company.founded"":1979,""Enrich Company.industry"":""Financial Services"",""Enrich Company.last_refresh"":""2025-04-21T00:08:23.579468"",""Enrich Company.locality"":""Plano, Texas"",""Enrich Company.logo_url"":""https://s3.amazonaws.com/media.mixrank.com/hero-img/f328433dc86fc3b95c28e04ef482fe91"",""Enrich Company.name"":""Fisher Investments"",""Enrich Company.org_id"":163841,""Enrich Company.size"":""5,001-10,000 employees"",""Enrich Company.slug"":""fisher-investments"",""Enrich Company.type"":""Privately Held"",""Enrich Company.url"":""https://www.linkedin.com/company/fisher-investments"",""Enrich Company.website"":""https://www.fisherinvestments.com"",""Follower Count"":257283,""Name"":""Fisher Investments"",""Total Advisers"":77,""Website"":""https://www.fisherinvestments.com/en-gb"",""Website (2)"":""https://www.fisherinvestments.com""}",
St. James's Place Wealth Management Plc,5053,https://www.sjp.co.uk,St. James’s Place,St. James’s Place,https://www.sjp.co.uk,3759,"1,001-5,000 employees",Financial Services,"There’s advice that can change your day. Then there’s advice that can changeyour life. And the lives of those you love. The kind of advice that only ever comes from peoplewho have your best interests at heart, who want to see you happy. Like your dad. Your sister. Yourbest friend since primary school. And us. 

We all need advice on life’s journey to have the confidence to take thenext step. But today, there’s fewer and fewer people you can turn to. 

SJP offers one-to-one financial advice at every step that gives you theconfidence toembrace your tomorrow. 

The ‘St. James’s Place Partnership’ and the titles ‘Partner’ and ‘Partner Practice’ are marketing terms used to describe St. James’s Place representatives. 

Members of the St. James’s Place Partnership in the UK represent only St. James’s Place Wealth Management plc, which is authorised and regulated by the Financial Conduct Authority. 

St. James’s Place Wealth Management plc Registered Office: St. James’s Place House, 1 Tetbury Road, Cirencester, Gloucestershire, GL7 1FP. 

Registered in England Number 4113955. 

SJP Approved 19/02/2025",https://www.linkedin.com/company/st-james-s-place,98870,sjp.co.uk,Public Company,1991,5500000000,People Data Labs,,,,"{""Company Name"":""St. James's Place Wealth Management Plc"",""Created At"":""2025-05-06T03:14:49.786Z"",""Employee Count"":3759,""Enrich Company.country"":""GB"",""Enrich Company.description"":""There’s advice that can change your day. Then there’s advice that can changeyour life. And the lives of those you love. The kind of advice that only ever comes from peoplewho have your best interests at heart, who want to see you happy. Like your dad. Your sister. Yourbest friend since primary school. And us. \n\nWe all need advice on life’s journey to have the confidence to take thenext step. But today, there’s fewer and fewer people you can turn to. \n\nSJP offers one-to-one financial advice at every step that gives you theconfidence toembrace your tomorrow. \n\nThe ‘St. James’s Place Partnership’ and the titles ‘Partner’ and ‘Partner Practice’ are marketing terms used to describe St. James’s Place representatives. \n\nMembers of the St. James’s Place Partnership in the UK represent only St. James’s Place Wealth Management plc, which is authorised and regulated by the Financial Conduct Authority. \n\nSt. James’s Place Wealth Management plc Registered Office: St. James’s Place House, 1 Tetbury Road, Cirencester, Gloucestershire, GL7 1FP. \n\nRegistered in England Number 4113955. \n\nSJP Approved 19/02/2025"",""Enrich Company.domain"":""sjp.co.uk"",""Enrich Company.employee_count"":3759,""Enrich Company.follower_count"":98870,""Enrich Company.founded"":1991,""Enrich Company.industry"":""Financial Services"",""Enrich Company.last_refresh"":""2025-04-23T03:24:54.241904"",""Enrich Company.locality"":""Cirencester, Gloucestershire"",""Enrich Company.logo_url"":""https://s3.amazonaws.com/media.mixrank.com/hero-img/590dcbc8e39a7c4071b2fe14efc9e091"",""Enrich Company.name"":""St. James’s Place"",""Enrich Company.org_id"":9595,""Enrich Company.size"":""1,001-5,000 employees"",""Enrich Company.slug"":""st-james-s-place"",""Enrich Company.type"":""Public Company"",""Enrich Company.url"":""https://www.linkedin.com/company/st-james-s-place"",""Enrich Company.website"":""https://www.sjp.co.uk"",""Follower Count"":98870,""Name"":""St. James’s Place"",""Total Advisers"":5053,""Website"":""https://www.sjp.co.uk"",""Website (2)"":""https://www.sjp.co.uk""}",
John Scott Davidson Ltd,10,https://partnership.sjp.co.uk/johnscottdavidson,St. James’s Place,St. James’s Place,https://www.sjp.co.uk,3759,"1,001-5,000 employees",Financial Services,"There’s advice that can change your day. Then there’s advice that can changeyour life. And the lives of those you love. The kind of advice that only ever comes from peoplewho have your best interests at heart, who want to see you happy. Like your dad. Your sister. Yourbest friend since primary school. And us. 

We all need advice on life’s journey to have the confidence to take thenext step. But today, there’s fewer and fewer people you can turn to. 

SJP offers one-to-one financial advice at every step that gives you theconfidence toembrace your tomorrow. 

The ‘St. James’s Place Partnership’ and the titles ‘Partner’ and ‘Partner Practice’ are marketing terms used to describe St. James’s Place representatives. 

Members of the St. James’s Place Partnership in the UK represent only St. James’s Place Wealth Management plc, which is authorised and regulated by the Financial Conduct Authority. 

St. James’s Place Wealth Management plc Registered Office: St. James’s Place House, 1 Tetbury Road, Cirencester, Gloucestershire, GL7 1FP. 

Registered in England Number 4113955. 

SJP Approved 19/02/2025",https://www.linkedin.com/company/st-james-s-place,98870,sjp.co.uk,Public Company,1991,,None found,,,,"{""Company Name"":""John Scott Davidson Ltd"",""Created At"":""2025-05-06T03:14:49.186Z"",""Employee Count"":3759,""Enrich Company.country"":""GB"",""Enrich Company.description"":""There’s advice that can change your day. Then there’s advice that can changeyour life. And the lives of those you love. The kind of advice that only ever comes from peoplewho have your best interests at heart, who want to see you happy. Like your dad. Your sister. Yourbest friend since primary school. And us. \n\nWe all need advice on life’s journey to have the confidence to take thenext step. But today, there’s fewer and fewer people you can turn to. \n\nSJP offers one-to-one financial advice at every step that gives you theconfidence toembrace your tomorrow. \n\nThe ‘St. James’s Place Partnership’ and the titles ‘Partner’ and ‘Partner Practice’ are marketing terms used to describe St. James’s Place representatives. \n\nMembers of the St. James’s Place Partnership in the UK represent only St. James’s Place Wealth Management plc, which is authorised and regulated by the Financial Conduct Authority. \n\nSt. James’s Place Wealth Management plc Registered Office: St. James’s Place House, 1 Tetbury Road, Cirencester, Gloucestershire, GL7 1FP. \n\nRegistered in England Number 4113955. \n\nSJP Approved 19/02/2025"",""Enrich Company.domain"":""sjp.co.uk"",""Enrich Company.employee_count"":3759,""Enrich Company.follower_count"":98870,""Enrich Company.founded"":1991,""Enrich Company.industry"":""Financial Services"",""Enrich Company.last_refresh"":""2025-04-23T03:24:54.241904"",""Enrich Company.locality"":""Cirencester, Gloucestershire"",""Enrich Company.logo_url"":""https://s3.amazonaws.com/media.mixrank.com/hero-img/590dcbc8e39a7c4071b2fe14efc9e091"",""Enrich Company.name"":""St. James’s Place"",""Enrich Company.org_id"":9595,""Enrich Company.size"":""1,001-5,000 employees"",""Enrich Company.slug"":""st-james-s-place"",""Enrich Company.type"":""Public Company"",""Enrich Company.url"":""https://www.linkedin.com/company/st-james-s-place"",""Enrich Company.website"":""https://www.sjp.co.uk"",""Follower Count"":98870,""Name"":""St. James’s Place"",""Total Advisers"":10,""Website"":""https://partnership.sjp.co.uk/johnscottdavidson"",""Website (2)"":""https://www.sjp.co.uk""}",
Northern Spire Limited,8,https://www.sjpp.co.uk/northernspire,St. James’s Place,St. James’s Place,https://www.sjp.co.uk,3759,"1,001-5,000 employees",Financial Services,"There’s advice that can change your day. Then there’s advice that can changeyour life. And the lives of those you love. The kind of advice that only ever comes from peoplewho have your best interests at heart, who want to see you happy. Like your dad. Your sister. Yourbest friend since primary school. And us. 

We all need advice on life’s journey to have the confidence to take thenext step. But today, there’s fewer and fewer people you can turn to. 

SJP offers one-to-one financial advice at every step that gives you theconfidence toembrace your tomorrow. 

The ‘St. James’s Place Partnership’ and the titles ‘Partner’ and ‘Partner Practice’ are marketing terms used to describe St. James’s Place representatives. 

Members of the St. James’s Place Partnership in the UK represent only St. James’s Place Wealth Management plc, which is authorised and regulated by the Financial Conduct Authority. 

St. James’s Place Wealth Management plc Registered Office: St. James’s Place House, 1 Tetbury Road, Cirencester, Gloucestershire, GL7 1FP. 

Registered in England Number 4113955. 

SJP Approved 19/02/2025",https://www.linkedin.com/company/st-james-s-place,98870,sjp.co.uk,Public Company,1991,,None found,,,,"{""Company Name"":""Northern Spire Limited"",""Created At"":""2025-05-06T03:14:49.008Z"",""Employee Count"":3759,""Enrich Company.country"":""GB"",""Enrich Company.description"":""There’s advice that can change your day. Then there’s advice that can changeyour life. And the lives of those you love. The kind of advice that only ever comes from peoplewho have your best interests at heart, who want to see you happy. Like your dad. Your sister. Yourbest friend since primary school. And us. \n\nWe all need advice on life’s journey to have the confidence to take thenext step. But today, there’s fewer and fewer people you can turn to. \n\nSJP offers one-to-one financial advice at every step that gives you theconfidence toembrace your tomorrow. \n\nThe ‘St. James’s Place Partnership’ and the titles ‘Partner’ and ‘Partner Practice’ are marketing terms used to describe St. James’s Place representatives. \n\nMembers of the St. James’s Place Partnership in the UK represent only St. James’s Place Wealth Management plc, which is authorised and regulated by the Financial Conduct Authority. \n\nSt. James’s Place Wealth Management plc Registered Office: St. James’s Place House, 1 Tetbury Road, Cirencester, Gloucestershire, GL7 1FP. \n\nRegistered in England Number 4113955. \n\nSJP Approved 19/02/2025"",""Enrich Company.domain"":""sjp.co.uk"",""Enrich Company.employee_count"":3759,""Enrich Company.follower_count"":98870,""Enrich Company.founded"":1991,""Enrich Company.industry"":""Financial Services"",""Enrich Company.last_refresh"":""2025-04-23T03:24:54.241904"",""Enrich Company.locality"":""Cirencester, Gloucestershire"",""Enrich Company.logo_url"":""https://s3.amazonaws.com/media.mixrank.com/hero-img/590dcbc8e39a7c4071b2fe14efc9e091"",""Enrich Company.name"":""St. James’s Place"",""Enrich Company.org_id"":9595,""Enrich Company.size"":""1,001-5,000 employees"",""Enrich Company.slug"":""st-james-s-place"",""Enrich Company.type"":""Public Company"",""Enrich Company.url"":""https://www.linkedin.com/company/st-james-s-place"",""Enrich Company.website"":""https://www.sjp.co.uk"",""Follower Count"":98870,""Name"":""St. James’s Place"",""Total Advisers"":8,""Website"":""https://www.sjpp.co.uk/northernspire"",""Website (2)"":""https://www.sjp.co.uk""}",
S & K Berry Wealth Management Limited,5,https://www.sjpp.co.uk/stuartberry,St. James’s Place,St. James’s Place,https://www.sjp.co.uk,3759,"1,001-5,000 employees",Financial Services,"There’s advice that can change your day. Then there’s advice that can changeyour life. And the lives of those you love. The kind of advice that only ever comes from peoplewho have your best interests at heart, who want to see you happy. Like your dad. Your sister. Yourbest friend since primary school. And us. 

We all need advice on life’s journey to have the confidence to take thenext step. But today, there’s fewer and fewer people you can turn to. 

SJP offers one-to-one financial advice at every step that gives you theconfidence toembrace your tomorrow. 

The ‘St. James’s Place Partnership’ and the titles ‘Partner’ and ‘Partner Practice’ are marketing terms used to describe St. James’s Place representatives. 

Members of the St. James’s Place Partnership in the UK represent only St. James’s Place Wealth Management plc, which is authorised and regulated by the Financial Conduct Authority. 

St. James’s Place Wealth Management plc Registered Office: St. James’s Place House, 1 Tetbury Road, Cirencester, Gloucestershire, GL7 1FP. 

Registered in England Number 4113955. 

SJP Approved 19/02/2025",https://www.linkedin.com/company/st-james-s-place,98870,sjp.co.uk,Public Company,1991,,None found,,,,"{""Company Name"":""S & K Berry Wealth Management Limited"",""Created At"":""2025-05-06T03:14:48.325Z"",""Employee Count"":3759,""Enrich Company.country"":""GB"",""Enrich Company.description"":""There’s advice that can change your day. Then there’s advice that can changeyour life. And the lives of those you love. The kind of advice that only ever comes from peoplewho have your best interests at heart, who want to see you happy. Like your dad. Your sister. Yourbest friend since primary school. And us. \n\nWe all need advice on life’s journey to have the confidence to take thenext step. But today, there’s fewer and fewer people you can turn to. \n\nSJP offers one-to-one financial advice at every step that gives you theconfidence toembrace your tomorrow. \n\nThe ‘St. James’s Place Partnership’ and the titles ‘Partner’ and ‘Partner Practice’ are marketing terms used to describe St. James’s Place representatives. \n\nMembers of the St. James’s Place Partnership in the UK represent only St. James’s Place Wealth Management plc, which is authorised and regulated by the Financial Conduct Authority. \n\nSt. James’s Place Wealth Management plc Registered Office: St. James’s Place House, 1 Tetbury Road, Cirencester, Gloucestershire, GL7 1FP. \n\nRegistered in England Number 4113955. \n\nSJP Approved 19/02/2025"",""Enrich Company.domain"":""sjp.co.uk"",""Enrich Company.employee_count"":3759,""Enrich Company.follower_count"":98870,""Enrich Company.founded"":1991,""Enrich Company.industry"":""Financial Services"",""Enrich Company.last_refresh"":""2025-04-23T03:24:54.241904"",""Enrich Company.locality"":""Cirencester, Gloucestershire"",""Enrich Company.logo_url"":""https://s3.amazonaws.com/media.mixrank.com/hero-img/590dcbc8e39a7c4071b2fe14efc9e091"",""Enrich Company.name"":""St. James’s Place"",""Enrich Company.org_id"":9595,""Enrich Company.size"":""1,001-5,000 employees"",""Enrich Company.slug"":""st-james-s-place"",""Enrich Company.type"":""Public Company"",""Enrich Company.url"":""https://www.linkedin.com/company/st-james-s-place"",""Enrich Company.website"":""https://www.sjp.co.uk"",""Follower Count"":98870,""Name"":""St. James’s Place"",""Total Advisers"":5,""Website"":""https://www.sjpp.co.uk/stuartberry"",""Website (2)"":""https://www.sjp.co.uk""}",
