Company,Job Title
2Plan,Independent Financial Adviser
AAB Wealth,Head of Financial Planning
AAB Wealth,Technical Senior Manager
Abacus Advisers,Adviser
Albert Goodman,Financial Planning Chartered Financial Planner - Partner
Alpha House Wealth Management Ltd,IFA
Amber River Group,Proposition Manager
Asset Management Financial Advisers,Head of Advice
Asset Management Financial Advisers,Managing Director
Astute Private Wealth,Head of Change & Development
Attivo,Solutions Architect
Attivo,Systems Analyst
Attivo,IT Manager
Attivo,Chief Technology Officer
Beckett Investment Management Group,Business Intelligence Support
Benchmark Capital,Chief Executive Officer
Blincoe Financial Planning,Partner
Cantab Asset Management,Associate Director
Cantab Asset Management,Systems Director
Capital Asset Management,Chief Operating Officer
Capital Asset Management,Head of Financial Planning
Capital Asset Management,Chief Executive Officer
Cazenove Capital,Director
Cazenove Capital,Portfolio Manager
Chase de Vere,Business Analysis Manager
Chase de Vere,Fintech Manager
Chesterton House Financial Planning Ltd,Paraplanning Team Manager
Chesterton House Financial Planning Ltd,Administration Team Manager
Chesterton House Financial Planning Ltd,Marketing Manager
Chesterton House Financial Planning Ltd,Investment Team Manager
Chesterton House Financial Planning Ltd,Compliance Manager
Chesterton House Financial Planning Ltd,Financial Planning Manager
Chesterton House Financial Planning Ltd,Programme Manager - Operations
Clifton Asset Management Ltd,Head of IT & Systems
Cooper Parry Wealth,Operations Assistant
Cooper Parry Wealth,Head of Technology & Process
Cooper Parry Wealth,Head of Paraplanning
Crowe Financial Planning UK Ltd,Senior Operations Coordinator
Crowe Financial Planning UK Ltd,Head of Innovation
Delta Financial Management Ltd,IT Manager
Dennehy Wealth,Administrative Assistant
Ebcam Ltd,Director
Edgemont Financial Services Ltd,Managing Director
eParaplan Connect,Chief Executive Officer
eParaplan Connect,Chief Operating Officer
Equilibrium Financial Planning,Technology Manager
Equilibrium Financial Planning,Executive Assistant
Equilibrium Financial Planning,Founder
Equilibrium Financial Planning,Head of Organisational Development
Equilibrium Financial Planning,Head of Delivery
Eva Wealth Management for Women,Founder
